date,confirmed,deaths,recovered,active
2020-01-22,1,0,0,1
2020-01-23,1,0,0,1
2020-01-24,2,0,0,2
2020-01-25,2,0,0,2
2020-01-26,5,0,0,5
2020-01-27,5,0,0,5
2020-01-28,5,0,0,5
2020-01-29,5,0,0,5
2020-01-30,5,0,0,5
2020-01-31,6,0,0,6
2020-02-01,8,0,0,8
2020-02-02,8,0,0,8
2020-02-03,11,0,0,11
2020-02-04,11,0,0,11
2020-02-05,12,0,0,12
2020-02-06,12,0,0,12
2020-02-07,12,0,0,12
2020-02-08,12,0,0,12
2020-02-09,12,0,3,9
2020-02-10,12,0,3,9
2020-02-11,13,0,3,10
2020-02-12,13,0,3,10
2020-02-13,15,0,3,12
2020-02-14,15,0,3,12
2020-02-15,15,0,3,12
2020-02-16,15,0,3,12
2020-02-17,15,0,3,12
2020-02-18,15,0,3,12
2020-02-19,15,0,3,12
2020-02-20,15,0,3,12
2020-02-21,35,0,5,30
2020-02-22,35,0,5,30
2020-02-23,35,0,5,30
2020-02-24,53,0,5,48
2020-02-25,53,0,6,47
2020-02-26,59,0,6,53
2020-02-27,60,0,6,54
2020-02-28,62,0,7,55
2020-02-29,70,1,7,62
2020-03-01,76,1,7,68
2020-03-02,101,6,7,88
2020-03-03,122,7,8,107
2020-03-04,153,11,8,134
2020-03-05,221,12,8,201
2020-03-06,278,14,8,256
2020-03-07,417,17,8,392
2020-03-08,537,21,8,508
2020-03-09,605,22,8,575
2020-03-10,959,28,8,923
2020-03-11,1281,36,8,1237
2020-03-12,1663,40,12,1611
2020-03-13,2179,47,12,2120
2020-03-14,2726,54,12,2660
2020-03-15,3499,63,12,3424
2020-03-16,4632,85,17,4530
2020-03-17,6421,108,17,6296
2020-03-18,7786,118,106,7562
2020-03-19,13680,200,108,13372
2020-03-20,19101,244,147,18710
2020-03-21,25514,307,171,25036
2020-03-22,33848,427,0,33421
2020-03-23,43663,552,0,43111
2020-03-24,53736,706,348,52682
2020-03-25,65778,942,361,64475
2020-03-26,83836,1209,681,81946
2020-03-27,101657,1581,869,99207
2020-03-28,121465,2026,1072,118367
2020-03-29,140909,2467,2665,135777
2020-03-30,161831,2978,5644,153209
2020-03-31,188172,3873,7024,177275
2020-04-01,213372,4757,8474,200141
2020-04-02,243599,5926,9001,228672
2020-04-03,275586,7087,9707,258792
2020-04-04,308853,8407,14652,285794
2020-04-05,337072,9619,17448,310005
2020-04-06,366667,10783,19581,336303
2020-04-07,396223,12722,21763,361738
2020-04-08,429052,14695,23559,390798
2020-04-09,461437,16478,25410,419549
2020-04-10,496535,18586,28790,449159
2020-04-11,526396,20462,31270,474664
2020-04-12,555313,22019,32988,500306
2020-04-13,580619,23528,43482,513609
2020-04-14,607670,25831,47763,534076
2020-04-15,636350,28325,52096,555929
2020-04-16,667801,32916,54703,580182
2020-04-17,699706,36773,58545,604388
2020-04-18,732197,38664,64840,628693
2020-04-19,759086,40661,70337,648088
2020-04-20,784326,42094,72329,669903
2020-04-21,811865,44444,75204,692217
2020-04-22,840220,46622,77366,716232
2020-04-23,869170,49954,80203,739013
2020-04-24,905333,51949,99079,754305
2020-04-25,938154,53755,100372,784027
2020-04-26,965783,54881,106988,803914
2020-04-27,988197,56259,111424,820514
2020-04-28,1012582,58355,115936,838291
2020-04-29,1039909,60967,120720,858222
2020-04-30,1069424,62996,153947,852481
2020-05-01,1103461,64943,164015,874503
2020-05-02,1132539,66369,175382,890788
2020-05-03,1158040,67682,180152,910206
2020-05-04,1180375,68922,187180,924273
2020-05-05,1204351,71064,189791,943496
2020-05-06,1228603,73431,189910,965262
2020-05-07,1257023,75662,195036,986325
2020-05-08,1283929,77180,198993,1007756
2020-05-09,1309550,78795,212534,1018221
2020-05-10,1329260,79526,216169,1033565
2020-05-11,1347881,80682,232733,1034466
2020-05-12,1369574,82376,230287,1056911
2020-05-13,1390406,84119,243430,1062857
2020-05-14,1417774,85898,246414,1085462
2020-05-15,1442824,87530,250747,1104547
2020-05-16,1467820,88754,268376,1110690
2020-05-17,1486757,89562,272265,1124930
2020-05-18,1508308,90347,283178,1134783
2020-05-19,1528568,91921,289392,1147255
2020-05-20,1551853,93439,294312,1164102
2020-05-21,1577147,94702,298418,1184027
2020-05-22,1600937,95979,350135,1154823
2020-05-23,1622612,97087,361239,1164286
2020-05-24,1643246,97720,366736,1178790
2020-05-25,1662302,98220,379157,1184925
2020-05-26,1680913,98913,384902,1197098
2020-05-27,1699176,100418,391508,1207250
2020-05-28,1721753,101616,399991,1220146
2020-05-29,1746019,102809,406446,1236764
