date,confirmed,deaths,recovered,active
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,2.0,0.0,0.0,2.0
2020-02-01,2.0,0.0,0.0,2.0
2020-02-02,2.0,0.0,0.0,2.0
2020-02-03,2.0,0.0,0.0,2.0
2020-02-04,2.0,0.0,0.0,2.0
2020-02-05,2.0,0.0,0.0,2.0
2020-02-06,2.0,0.0,0.0,2.0
2020-02-07,2.0,0.0,0.0,2.0
2020-02-08,2.0,0.0,0.0,2.0
2020-02-09,2.0,0.0,0.0,2.0
2020-02-10,2.0,0.0,0.0,2.0
2020-02-11,2.0,0.0,0.0,2.0
2020-02-12,2.0,0.0,2.0,0.0
2020-02-13,2.0,0.0,2.0,0.0
2020-02-14,2.0,0.0,2.0,0.0
2020-02-15,2.0,0.0,2.0,0.0
2020-02-16,2.0,0.0,2.0,0.0
2020-02-17,2.0,0.0,2.0,0.0
2020-02-18,2.0,0.0,2.0,0.0
2020-02-19,2.0,0.0,2.0,0.0
2020-02-20,2.0,0.0,2.0,0.0
2020-02-21,2.0,0.0,2.0,0.0
2020-02-22,2.0,0.0,2.0,0.0
2020-02-23,2.0,0.0,2.0,0.0
2020-02-24,2.0,0.0,2.0,0.0
2020-02-25,2.0,0.0,2.0,0.0
2020-02-26,2.0,0.0,2.0,0.0
2020-02-27,2.0,0.0,2.0,0.0
2020-02-28,2.0,0.0,2.0,0.0
2020-02-29,2.0,0.0,2.0,0.0
2020-03-01,2.0,0.0,2.0,0.0
2020-03-02,3.0,0.0,2.0,1.0
2020-03-03,3.0,0.0,2.0,1.0
2020-03-04,3.0,0.0,2.0,1.0
2020-03-05,4.0,0.0,2.0,2.0
2020-03-06,13.0,0.0,2.0,11.0
2020-03-07,13.0,0.0,2.0,11.0
2020-03-08,17.0,0.0,3.0,14.0
2020-03-09,17.0,0.0,3.0,14.0
2020-03-10,10.0,0.0,3.0,7.0
2020-03-11,20.0,0.0,3.0,17.0
2020-03-12,28.0,0.0,3.0,25.0
2020-03-13,45.0,0.0,3.0,42.0
2020-03-14,59.0,0.0,8.0,51.0
2020-03-15,63.0,0.0,8.0,55.0
2020-03-16,90.0,0.0,8.0,82.0
2020-03-17,114.0,0.0,8.0,106.0
2020-03-18,147.0,0.0,8.0,139.0
2020-03-19,199.0,1.0,9.0,189.0
2020-03-20,253.0,1.0,9.0,243.0
2020-03-21,306.0,1.0,12.0,293.0
2020-03-22,367.0,1.0,16.0,350.0
2020-03-23,438.0,1.0,17.0,420.0
2020-03-24,495.0,1.0,22.0,472.0
2020-03-25,658.0,3.0,29.0,626.0
2020-03-26,840.0,3.0,38.0,799.0
2020-03-27,1036.0,4.0,45.0,987.0
2020-03-28,1264.0,4.0,49.0,1211.0
2020-03-29,1534.0,8.0,64.0,1462.0
2020-03-30,1836.0,9.0,66.0,1761.0
2020-03-31,2337.0,17.0,121.0,2199.0
2020-04-01,2777.0,24.0,190.0,2563.0
2020-04-02,3548.0,30.0,235.0,3283.0
2020-04-03,4149.0,34.0,281.0,3834.0
2020-04-04,4731.0,43.0,333.0,4355.0
2020-04-05,5389.0,45.0,355.0,4989.0
2020-04-06,6343.0,47.0,406.0,5890.0
2020-04-07,7497.0,58.0,494.0,6945.0
2020-04-08,8672.0,63.0,580.0,8029.0
2020-04-09,10131.0,76.0,698.0,9357.0
2020-04-10,11917.0,94.0,795.0,11028.0
2020-04-11,13584.0,106.0,1045.0,12433.0
2020-04-12,15770.0,130.0,1291.0,14349.0
2020-04-13,18328.0,148.0,1470.0,16710.0
2020-04-14,21102.0,170.0,1694.0,19238.0
2020-04-15,24490.0,198.0,1986.0,22306.0
2020-04-16,27938.0,232.0,2304.0,25402.0
2020-04-17,32008.0,273.0,2590.0,29145.0
2020-04-18,36793.0,313.0,3057.0,33423.0
2020-04-19,42853.0,361.0,3291.0,39201.0
2020-04-20,47121.0,405.0,3446.0,43270.0
2020-04-21,52763.0,456.0,3873.0,48434.0
2020-04-22,57999.0,513.0,4420.0,53066.0
2020-04-23,62773.0,555.0,4891.0,57327.0
2020-04-24,68622.0,615.0,5568.0,62439.0
2020-04-25,74588.0,681.0,6250.0,67657.0
2020-04-26,80949.0,747.0,6767.0,73435.0
2020-04-27,87147.0,794.0,7346.0,79007.0
2020-04-28,93558.0,867.0,8456.0,84235.0
2020-04-29,99399.0,972.0,10286.0,88141.0
2020-04-30,106498.0,1073.0,11619.0,93806.0
2020-05-01,114431.0,1169.0,13220.0,100042.0
2020-05-02,124054.0,1222.0,15013.0,107819.0
2020-05-03,134687.0,1280.0,16639.0,116768.0
2020-05-04,145268.0,1356.0,18095.0,125817.0
2020-05-05,155370.0,1451.0,19865.0,134054.0
2020-05-06,165929.0,1537.0,21327.0,143065.0
2020-05-07,177160.0,1625.0,23803.0,151732.0
2020-05-08,187859.0,1723.0,26608.0,159528.0
2020-05-09,198676.0,1827.0,31916.0,164933.0
2020-05-10,209688.0,1915.0,34306.0,173467.0
2020-05-11,221344.0,2009.0,39801.0,179534.0
2020-05-12,232243.0,2116.0,43512.0,186615.0
2020-05-13,242271.0,2212.0,48003.0,192056.0
2020-05-14,252245.0,2305.0,53530.0,196410.0
2020-05-15,262843.0,2418.0,58226.0,202199.0
2020-05-16,272043.0,2537.0,63166.0,206340.0
2020-05-17,281752.0,2631.0,67373.0,211748.0
2020-05-18,290678.0,2722.0,70209.0,217747.0
2020-05-19,299941.0,2837.0,76130.0,220974.0
2020-05-20,308705.0,2972.0,85392.0,220341.0
2020-05-21,317554.0,3099.0,92681.0,221774.0
2020-05-22,326448.0,3249.0,99825.0,223374.0
2020-05-23,335882.0,3388.0,107936.0,224558.0
2020-05-24,344481.0,3541.0,113299.0,227641.0
2020-05-25,353427.0,3633.0,118798.0,230996.0
2020-05-26,362342.0,3807.0,131129.0,227406.0
2020-05-27,370680.0,3968.0,142208.0,224504.0
2020-05-28,379051.0,4142.0,150993.0,223916.0
2020-05-29,387623.0,4374.0,159257.0,223992.0
